Id	ArticleIds	AuthorList	DOI	PubDate	FullJournalName	HasAbstract	LastAuthor	NlmUniqueID	PubDate	PubTypeList	RecordStatus	Source	Title
30775354	DictElement({'pubmed': ['30775354'], 'medline': [], 'doi': '10.7774/cevr.2019.8.1.77', 'pmc': 'PMC6369122', 'rid': '30775354', 'eid': '30775354', 'pmcid': 'pmc-id: PMC6369122;'}, attributes={})	['Gautam N', 'Kakchapati S', 'Shrestha S', 'Wanishsakpong W']	10.7774/cevr.2019.8.1.77	2019 Jan	Clinical and experimental vaccine research	1	Wanishsakpong W	101592344	2019 Jan	['Journal Article']	PubMed	Clin Exp Vaccine Res	Patterns and trends of malaria in 25 risk districts of Nepal from 2001 to 2017.
30767358	DictElement({'pubmed': ['30767358'], 'medline': [], 'doi': '10.1111/tmi.13219', 'rid': '30767358', 'eid': '30767358'}, attributes={})	['Schmiegelow C', 'Msemo OA', 'Møller SL', 'Nielsen BB', 'Paulsen CB', 'Ødum L', 'Theander TG', 'Kavishe RA', 'Lusingu JPA', 'Minja DT', 'Bygbjerg IC']	10.1111/tmi.13219	2019 Feb 15	Tropical medicine & international health : TM & IH	1	Bygbjerg IC	9610576	2019 Feb 15	['Journal Article']	PubMed - as supplied by publisher	Trop Med Int Health	Preconceptional factors associated with haemoglobin concentration in early pregnancy: a community-based cohort study in rural northeastern Tanzania.
30728060	DictElement({'pubmed': ['30728060'], 'medline': [], 'doi': '10.1186/s13071-019-3289-y', 'pii': '10.1186/s13071-019-3289-y', 'pmc': 'PMC6366042', 'rid': '30728060', 'eid': '30728060', 'pmcid': 'pmc-id: PMC6366042;'}, attributes={})	['Facchinelli L', 'North AR', 'Collins CM', 'Menichelli M', 'Persampieri T', 'Bucci A', 'Spaccapelo R', 'Crisanti A', 'Benedict MQ']	10.1186/s13071-019-3289-y	2019 Feb 6	Parasites & vectors	1	Benedict MQ	101462774	2019 Feb 6	['Journal Article']	PubMed - indexed for MEDLINE	Parasit Vectors	Large-cage assessment of a transgenic sex-ratio distortion strain on populations of an African malaria vector.
30726224	DictElement({'pubmed': ['30726224'], 'medline': [], 'doi': '10.1371/journal.pone.0210789', 'pii': 'PONE-D-18-09130', 'pmc': 'PMC6364960', 'rid': '30726224', 'eid': '30726224', 'pmcid': 'pmc-id: PMC6364960;'}, attributes={})	['Sottas O', 'Guidi M', 'Thieffry B', 'Schneider M', 'Décosterd L', 'Mueller I', 'Genton B', 'Csajka C', 'Senn N']	10.1371/journal.pone.0210789	2019	PloS one	1	Senn N	101285081	2019	['Journal Article']	PubMed - in process	PLoS One	Adherence to intermittent preventive treatment for malaria in Papua New Guinean infants: A pharmacological study alongside the randomized controlled trial.
30706585	DictElement({'pubmed': ['30706585'], 'medline': [], 'doi': '10.1111/tmi.13212', 'rid': '30706585', 'eid': '30706585'}, attributes={})	['Douglass J', 'Dykes L', 'Kelly-Hope L', 'Gordon S', 'Leggat P', 'Aye NN', 'Win SS', 'Wai T', 'Win YY', 'Nwe TW', 'Graves P']	10.1111/tmi.13212	2019 Jan 31	Tropical medicine & international health : TM & IH	1	Graves P	9610576	2019 Jan 31	['Journal Article']	PubMed - as supplied by publisher	Trop Med Int Health	Preventive chemotherapy reverses covert, lymphatic-associated tissue change in young people with lymphatic filariasis in Myanmar.
30701351	DictElement({'pubmed': ['30701351'], 'medline': [], 'doi': '10.1007/s00114-019-1601-5', 'pii': '10.1007/s00114-019-1601-5', 'pmc': 'PMC6353807', 'rid': '30701351', 'eid': '30701351', 'pmcid': 'pmc-id: PMC6353807;'}, attributes={})	['Sudyka J', 'Podmokła E', 'Drobniak SM', 'Dubiec A', 'Arct A', 'Gustafsson L', 'Cichoń M']	10.1007/s00114-019-1601-5	2019 Jan 30	Die Naturwissenschaften	1	Cichoń M	0400767	2019 Jan 30	['Journal Article']	PubMed - indexed for MEDLINE	Naturwissenschaften	Sex-specific effects of parasites on telomere dynamics in a short-lived passerine-the blue tit.
30659538	DictElement({'pubmed': ['30659538'], 'medline': [], 'pii': 'CTMC-EPUB-95942', 'doi': '10.2174/1568026619666190119143838', 'rid': '30659538', 'eid': '30659538'}, attributes={})	['Kalra S', 'Joshi G', 'Kumar R', 'Munshi A']	10.2174/1568026619666190119143838	2018	Current topics in medicinal chemistry	1	Munshi A	101119673	2018	['Journal Article']	PubMed - in process	Curr Top Med Chem	Role of 2-Dimensional Autocorrelation Descriptors in Predicting Antimalarial Activity of Artemisinin and its Aanalogues: A QSAR Study.
30630763	DictElement({'pubmed': ['30630763'], 'medline': [], 'pii': 'S1876-0341(18)30347-2', 'doi': '10.1016/j.jiph.2018.11.010', 'rid': '30630763', 'eid': '30630763'}, attributes={})	['Khuu D', 'Eberhard ML', 'Bristow BN', 'Javanbakht M', 'Ash LR', 'Shafir SC', 'Sorvillo FJ']	10.1016/j.jiph.2018.11.010	2019 Jan 7	Journal of infection and public health	1	Sorvillo FJ	101487384	2019 Jan 7	['Journal Article']	PubMed - as supplied by publisher	J Infect Public Health	Economic impact of malaria-related hospitalizations in the United States, 2000-2014.
30611278	DictElement({'pubmed': ['30611278'], 'medline': [], 'doi': '10.1186/s12936-018-2631-8', 'pii': '10.1186/s12936-018-2631-8', 'pmc': 'PMC6321728', 'rid': '30611278', 'eid': '30611278', 'pmcid': 'pmc-id: PMC6321728;'}, attributes={})	['Sharifi-Malvajerdi S', 'Zhu F', 'Fogarty CB', 'Fay MP', 'Fairhurst RM', 'Flegg JA', 'Stepniewska K', 'Small DS']	10.1186/s12936-018-2631-8	2019 Jan 5	Malaria journal	1	Small DS	101139802	2019 Jan 5	['Journal Article']	PubMed - indexed for MEDLINE	Malar J	Malaria parasite clearance rate regression: an R software package for a Bayesian hierarchical regression model.
30593271	DictElement({'pubmed': ['30593271'], 'medline': [], 'doi': '10.1186/s12887-018-1378-2', 'pii': '10.1186/s12887-018-1378-2', 'pmc': 'PMC6309082', 'rid': '30593271', 'eid': '30593271', 'pmcid': 'pmc-id: PMC6309082;'}, attributes={})	['Bendabenda J', 'Patson N', 'Hallamaa L', 'Mbotwa J', 'Mangani C', 'Phuka J', 'Prado EL', 'Cheung YB', 'Ashorn U', 'Dewey KG', 'Ashorn P', 'Maleta K']	10.1186/s12887-018-1378-2	2018 Dec 28	BMC pediatrics	1	Maleta K	100967804	2018 Dec 28	['Journal Article']	PubMed - in process	BMC Pediatr	The association of malaria morbidity with linear growth, hemoglobin, iron status, and development in young Malawian children: a prospective cohort study.
30585147	DictElement({'pubmed': ['30585147'], 'medline': [], 'pii': 'S0031182018002081', 'doi': '10.1017/S0031182018002081', 'rid': '30585147', 'eid': '30585147'}, attributes={})	['Cadena-Ortiz H', 'Mantilla JS', 'de Aguilar JR', 'Flores D', 'Bahamonde D', 'Matta NE', 'Bonaccorso E']	10.1017/S0031182018002081	2018 Dec 26	Parasitology	1	Bonaccorso E	0401121	2018 Dec 26	['Journal Article']	PubMed - as supplied by publisher	Parasitology	Avian haemosporidian infections in rufous-collared sparrows in an Andean dry forest: diversity and factors related to prevalence and parasitaemia.
30522524	DictElement({'pubmed': ['30522524'], 'medline': [], 'doi': '10.1186/s40249-018-0503-7', 'pii': '10.1186/s40249-018-0503-7', 'pmc': 'PMC6284283', 'rid': '30522524', 'eid': '30522524', 'pmcid': 'pmc-id: PMC6284283;'}, attributes={})	['Akano K', 'Ntadom G', 'Agomo C', 'Happi CT', 'Folarin OA', 'Gbotosho GO', 'Mokuolu O', 'Finomo F', 'Ebenebe JC', 'Jiya N', 'Ambe J', 'Wammanda R', 'Emechebe G', 'Basorun OK', 'Wewe OA', 'Amoo S', 'Ezeigwe N', 'Oguche S', 'Fatunmbi B', 'Sowunmi A']	10.1186/s40249-018-0503-7	2018 Dec 7	Infectious diseases of poverty	1	Sowunmi A	101606645	2018 Dec 7	['Journal Article', 'Randomized Controlled Trial']	PubMed - indexed for MEDLINE	Infect Dis Poverty	Parasite reduction ratio one day after initiation of artemisinin-based combination therapies and its relationship with parasite clearance time in acutely malarious children.
30530597	DictElement({'pubmed': ['30530597'], 'medline': [], 'pii': 'AAC.01393-18', 'doi': '10.1128/AAC.01393-18', 'pmc': 'PMC6355581', 'rid': '30530597', 'eid': '30530597', 'pmcid': 'pmc-id: PMC6355581;embargo-date: 2019/07/29;'}, attributes={})	['Wallender E', 'Zhang N', 'Conrad M', 'Kakuru A', 'Muhindo M', 'Tumwebaze P', 'Kajubi R', 'Mota D', 'Legac J', 'Jagannathan P', 'Havlir D', 'Kamya M', 'Dorsey G', 'Aweeka F', 'Rosenthal PJ', 'Savic RM']	10.1128/AAC.01393-18	2019 Feb	Antimicrobial agents and chemotherapy	1	Savic RM	0315061	2019 Feb	['Journal Article']	PubMed - in process	Antimicrob Agents Chemother	Modeling Prevention of Malaria and Selection of Drug Resistance with Different Dosing Schedules of Dihydroartemisinin-Piperaquine Preventive Therapy during Pregnancy in Uganda.
30518399	DictElement({'pubmed': ['30518399'], 'medline': [], 'doi': '10.1186/s12936-018-2604-y', 'pii': '10.1186/s12936-018-2604-y', 'pmc': 'PMC6282337', 'rid': '30518399', 'eid': '30518399', 'pmcid': 'pmc-id: PMC6282337;'}, attributes={})	['Ugwu CLJ', 'Zewotir TT']	10.1186/s12936-018-2604-y	2018 Dec 5	Malaria journal	1	Zewotir TT	101139802	2018 Dec 5	['Journal Article']	PubMed - indexed for MEDLINE	Malar J	Using mixed effects logistic regression models for complex survey data on malaria rapid diagnostic test results.
30509693	DictElement({'pubmed': ['30509693'], 'medline': [], 'pii': 'S0264-410X(18)31368-9', 'doi': '10.1016/j.vaccine.2018.10.016', 'rid': '30509693', 'eid': '30509693'}, attributes={})	['Rodrigues-da-Silva RN', 'Correa-Moreira D', 'Soares IF', 'de-Luca PM', 'Totino PRR', 'Morgado FN', 'Oliveira Henriques MDG', 'Peixoto Candea AL', 'Singh B', 'Galinski MR', 'Moreno A', 'Oliveira-Ferreira J', 'Lima-Junior JDC']	10.1016/j.vaccine.2018.10.016	2019 Jan 7	Vaccine	1	Lima-Junior JDC	8406899	2019 Jan 7	['Journal Article']	PubMed - in process	Vaccine	Immunogenicity of synthetic peptide constructs based on PvMSP9<sub>E795-A808</sub>, a linear B-cell epitope of the P. vivax Merozoite Surface Protein-9.
30427935	DictElement({'pubmed': ['30427935'], 'medline': [], 'doi': '10.1371/journal.ppat.1007371', 'pii': 'PPATHOGENS-D-18-00778', 'pmc': 'PMC6261640', 'rid': '30427935', 'eid': '30427935', 'pmcid': 'pmc-id: PMC6261640;'}, attributes={})	['Schneider P', 'Greischar MA', 'Birget PLG', 'Repton C', 'Mideo N', 'Reece SE']	10.1371/journal.ppat.1007371	2018 Nov	PLoS pathogens	1	Reece SE	101238921	2018 Nov	['Journal Article']	PubMed - indexed for MEDLINE	PLoS Pathog	Adaptive plasticity in the gametocyte conversion rate of malaria parasites.
30348209	DictElement({'pubmed': ['30348209'], 'medline': [], 'doi': '10.1186/s13071-018-3101-4', 'pii': '10.1186/s13071-018-3101-4', 'pmc': 'PMC6198431', 'rid': '30348209', 'eid': '30348209', 'pmcid': 'pmc-id: PMC6198431;'}, attributes={})	['Implications of Insecticide Resistance Consortium.']	10.1186/s13071-018-3101-4	2018 Oct 22	Parasites & vectors	1	Implications of Insecticide Resistance Consortium.	101462774	2018 Oct 22	['Journal Article']	PubMed - indexed for MEDLINE	Parasit Vectors	Implications of insecticide resistance for malaria vector control with long-lasting insecticidal nets: trends in pyrethroid resistance during a WHO-coordinated multi-country prospective study.
30282959	DictElement({'pubmed': ['30282959'], 'medline': [], 'pii': 'genes9100479', 'doi': '10.3390/genes9100479', 'pmc': 'PMC6209882', 'rid': '30282959', 'eid': '30282959', 'pmcid': 'pmc-id: PMC6209882;'}, attributes={})	['Mavridis K', 'Wipf N', 'Müller P', 'Traoré MM', 'Muller G', 'Vontas J']	10.3390/genes9100479	2018 Oct 3	Genes	1	Vontas J	101551097	2018 Oct 3	['Journal Article']	PubMed	Genes (Basel)	Detection and Monitoring of Insecticide Resistance Mutations in Anopheles gambiae: Individual vs Pooled Specimens.
30234178	DictElement({'pubmed': ['30234178'], 'medline': [], 'doi': '10.1016/j.parepi.2018.e00073', 'pii': 'e00073', 'pmc': 'PMC6140295', 'rid': '30234178', 'eid': '30234178', 'pmcid': 'pmc-id: PMC6140295;'}, attributes={})	['Yao KMA', 'Obeng F', 'Ntajal J', 'Tounou AK', 'Kone B']	10.1016/j.parepi.2018.e00073	2018 Nov	Parasite epidemiology and control	1	Kone B	101687137	2018 Nov	['Journal Article']	PubMed	Parasite Epidemiol Control	Vulnerability of farming communities to malaria in the Bole district, Ghana.
30231938	DictElement({'pubmed': ['30231938'], 'medline': [], 'doi': '10.1186/s12916-018-1146-z', 'pii': '10.1186/s12916-018-1146-z', 'pmc': 'PMC6149228', 'rid': '30231938', 'eid': '30231938', 'pmcid': 'pmc-id: PMC6149228;'}, attributes={})	['Fowkes FJI', 'Moore KA', 'Opi DH', 'Simpson JA', 'Langham F', 'Stanisic DI', 'Ura A', 'King CL', 'Siba PM', 'Mueller I', 'Rogerson SJ', 'Beeson JG']	10.1186/s12916-018-1146-z	2018 Sep 20	BMC medicine	1	Beeson JG	101190723	2018 Sep 20	['Journal Article']	PubMed - indexed for MEDLINE	BMC Med	Iron deficiency during pregnancy is associated with a reduced risk of adverse birth outcomes in a malaria-endemic area in a longitudinal cohort study.
30206336	DictElement({'pubmed': ['30206336'], 'medline': [], 'doi': '10.1038/s41366-018-0201-3', 'pii': '10.1038/s41366-018-0201-3', 'rid': '30206336', 'eid': '30206336'}, attributes={})	['Seck EH', 'Senghor B', 'Merhej V', 'Bachar D', 'Cadoret F', 'Robert C', 'Azhar EI', 'Yasir M', 'Bibi F', 'Jiman-Fatani AA', 'Konate DS', 'Musso D', 'Doumbo O', 'Sokhna C', 'Levasseur A', 'Lagier JC', 'Khelaifia S', 'Million M', 'Raoult D']	10.1038/s41366-018-0201-3	2018 Sep 11	International journal of obesity (2005)	1	Raoult D	101256108	2018 Sep 11	['Journal Article']	PubMed - as supplied by publisher	Int J Obes (Lond)	Salt in stools is associated with obesity, gut halophilic microbiota and Akkermansia muciniphila depletion in humans.
30169629	DictElement({'pubmed': ['30169629'], 'medline': [], 'pii': '5088303', 'doi': '10.1093/chromsci/bmy077', 'rid': '30169629', 'eid': '30169629'}, attributes={})	['Choemang A', 'Na-Bangchang K']	10.1093/chromsci/bmy077	2019 Jan 1	Journal of chromatographic science	1	Na-Bangchang K	0173225	2019 Jan 1	['Journal Article']	PubMed - indexed for MEDLINE	J Chromatogr Sci	An Alternative HPLC with Ultraviolet Detection for Determination of Piperaquine in Plasma.
30157850	DictElement({'pubmed': ['30157850'], 'medline': [], 'doi': '10.1186/s12936-018-2460-9', 'pii': '10.1186/s12936-018-2460-9', 'pmc': 'PMC6114784', 'rid': '30157850', 'eid': '30157850', 'pmcid': 'pmc-id: PMC6114784;'}, attributes={})	['Hellewell J', 'Walker P', 'Ghani A', 'Rao B', 'Churcher TS']	10.1186/s12936-018-2460-9	2018 Aug 29	Malaria journal	1	Churcher TS	101139802	2018 Aug 29	['Journal Article']	PubMed - indexed for MEDLINE	Malar J	Using ante-natal clinic prevalence data to monitor temporal changes in malaria incidence in a humanitarian setting in the Democratic Republic of Congo.
30120591	DictElement({'pubmed': ['30120591'], 'medline': [], 'doi': '10.1007/s00894-018-3755-z', 'pii': '10.1007/s00894-018-3755-z', 'pmc': 'PMC6097041', 'rid': '30120591', 'eid': '30120591', 'pmcid': 'pmc-id: PMC6097041;'}, attributes={})	"['Lawrenson AS', 'Cooper DL', ""O'Neill PM"", 'Berry NG']"	10.1007/s00894-018-3755-z	2018 Aug 17	Journal of molecular modeling	1	Berry NG	9806569	2018 Aug 17	['Journal Article']	PubMed - indexed for MEDLINE	J Mol Model	Study of the antimalarial activity of 4-aminoquinoline compounds against chloroquine-sensitive and chloroquine-resistant parasite strains.
30114201	DictElement({'pubmed': ['30114201'], 'medline': [], 'doi': '10.1371/journal.pone.0202082', 'pii': 'PONE-D-17-27975', 'pmc': 'PMC6095545', 'rid': '30114201', 'eid': '30114201', 'pmcid': 'pmc-id: PMC6095545;'}, attributes={})	['Huang L', 'Mwebaza N', 'Kajubi R', 'Marzan F', 'Forsman C', 'Parikh S', 'Aweeka FT']	10.1371/journal.pone.0202082	2018	PloS one	1	Aweeka FT	101285081	2018	['Journal Article']	PubMed - indexed for MEDLINE	PLoS One	Strong correlation of lumefantrine concentrations in capillary and venous plasma from malaria patients.
30044224	DictElement({'pubmed': ['30044224'], 'medline': [], 'doi': '10.7554/eLife.35832', 'pii': '35832', 'pmc': 'PMC6103767', 'rid': '30044224', 'eid': '30044224', 'pmcid': 'pmc-id: PMC6103767;'}, attributes={})	['Rodriguez-Barraquer I', 'Arinaitwe E', 'Jagannathan P', 'Kamya MR', 'Rosenthal PJ', 'Rek J', 'Dorsey G', 'Nankabirwa J', 'Staedke SG', 'Kilama M', 'Drakeley C', 'Ssewanyana I', 'Smith DL', 'Greenhouse B']	10.7554/eLife.35832	2018 Jul 25	eLife	1	Greenhouse B	101579614	2018 Jul 25	['Journal Article']	PubMed - indexed for MEDLINE	Elife	Quantification of anti-parasite and anti-disease immunity to malaria as a function of age and exposure.
29992330	DictElement({'pubmed': ['29992330'], 'medline': [], 'pii': '5050979', 'doi': '10.1093/aje/kwy143', 'pmc': 'PMC6321795', 'rid': '29992330', 'eid': '29992330', 'pmcid': 'pmc-id: PMC6321795;embargo-date: 2020/01/01;'}, attributes={})	['Chevrier J', 'Rauch S', 'Crause M', 'Obida M', 'Gaspar F', 'Bornman R', 'Eskenazi B']	10.1093/aje/kwy143	2019 Jan 1	American journal of epidemiology	1	Eskenazi B	7910653	2019 Jan 1	['Journal Article']	PubMed - in process	Am J Epidemiol	Associations of Maternal Exposure to Dichlorodiphenyltrichloroethane and Pyrethroids With Birth Outcomes Among Participants in the Venda Health Examination of Mothers, Babies and Their Environment Residing in an Area Sprayed for Malaria Control.
29970153	DictElement({'pubmed': ['29970153'], 'medline': [], 'doi': '10.1186/s13071-018-2977-3', 'pii': '10.1186/s13071-018-2977-3', 'pmc': 'PMC6029021', 'rid': '29970153', 'eid': '29970153', 'pmcid': 'pmc-id: PMC6029021;'}, attributes={})	['Mburu MM', 'Juurlink M', 'Spitzen J', 'Moraga P', 'Hiscox A', 'Mzilahowa T', 'Takken W', 'McCann RS']	10.1186/s13071-018-2977-3	2018 Jul 3	Parasites & vectors	1	McCann RS	101462774	2018 Jul 3	['Journal Article']	PubMed - indexed for MEDLINE	Parasit Vectors	Impact of partially and fully closed eaves on house entry rates by mosquitoes.
29956431	DictElement({'pubmed': ['29956431'], 'medline': [], 'doi': '10.1111/tmi.13124', 'rid': '29956431', 'eid': '29956431'}, attributes={})	['Mischlinger J', 'Pitzinger P', 'Veletzky L', 'Groger M', 'Zoleko-Manego R', 'Adegnika AA', 'Agnandji ST', 'Lell B', 'Kremsner PG', 'Mombo-Ngoma G', 'Mordmüller B', 'Ramharter M']	10.1111/tmi.13124	2018 Sep	Tropical medicine & international health : TM & IH	1	Ramharter M	9610576	2018 Sep	['Journal Article']	PubMed - in process	Trop Med Int Health	Validity and reliability of methods to microscopically detect and quantify malaria parasitaemia.
29926974	DictElement({'pubmed': ['29926974'], 'medline': [], 'doi': '10.1111/mve.12312', 'rid': '29926974', 'eid': '29926974'}, attributes={})	"['Amadi JA', ""Ong'amo GO"", 'Olago DO', 'Oriaso SO', 'Nyamongo IK', 'Estambale BBA']"	10.1111/mve.12312	2018 Dec	Medical and veterinary entomology	1	Estambale BBA	8708682	2018 Dec	['Journal Article']	PubMed - indexed for MEDLINE	Med Vet Entomol	Mapping potential Anopheles gambiae s.l. larval distribution using remotely sensed climatic and environmental variables in Baringo, Kenya.
29885612	DictElement({'pubmed': ['29885612'], 'medline': [], 'pii': 'S0013-9351(18)30260-3', 'doi': '10.1016/j.envres.2018.05.016', 'pmc': 'PMC6110960', 'mid': 'NIHMS983433', 'rid': '29885612', 'eid': '29885612', 'pmcid': 'pmc-id: PMC6110960;manuscript-id: NIHMS983433;embargo-date: 2019/10/01;'}, attributes={})	['Misra A', 'Longnecker MP', 'Dionisio KL', 'Bornman RMS', 'Travlos GS', 'Brar S', 'Whitworth KW']	10.1016/j.envres.2018.05.016	2018 Oct	Environmental research	1	Whitworth KW	0147621	2018 Oct	['Journal Article']	PubMed - in process	Environ Res	Household fuel use and biomarkers of inflammation and respiratory illness among rural South African Women.
